X,Y,OBJECTID,OrganizationId,ESDCode,ESDNum,ESDName,LEACode,LEAName,ShortName,PhysicalAddress,MailingAddress,AdministratorName,AdministratorEmail,Phone,Website,County,Counties,CongressionalDistricts,LegislativeDistricts,Type,TransportationRegion
1141988.48036416,847121.773769464,4811,100017,17801,121,Puget Sound Educational Service District 121,18303,Bainbridge Island School District,Bainbridge Island,"8489 MADISON AVE NE, BAINBRIDGE ISLAND, Washington, 98110-2999","8489 MADISON AVE NE, BAINBRIDGE ISLAND, Washington, 98110-2999",Peter  Bang-Knudsen,pbangknudsen@bisd303.org,(206)780-1050,https://www.bisd303.org/,Kitsap,Kitsap,6,23,Public School District,2
1114366.02632518,151542.622672447,4812,100018,06801,112,Educational Service District 112,06119,Battle Ground School District,Battle Ground,"11104 NE 149TH ST, BATTLE GROUND, Washington, 98604-0200","PO BOX 200, BATTLE GROUND, Washington, 98604-0200",Mark  Ross,ross.mark@battlegroundps.org,(360)885-5302,https://www.battlegroundps.org,Clark,Clark,3,"17, 18",Public School District,1
1226324.60986733,834889.467151597,4813,100019,17801,121,Puget Sound Educational Service District 121,17405,Bellevue School District,Bellevue,"12111 NE 1ST ST, BELLEVUE, Washington, 98005-3183","PO BOX 90010, BELLEVUE, Washington, 98005-3183",Ivan  Duran,durani@bsd405.org,(425)456-4025,https://bsd405.org/,King,King,"1, 9","41, 48",Public School District,2
1160856.49560794,1255677.64468153,4814,100020,29801,189,Northwest Educational Service District 189,37501,Bellingham School District,Bellingham,"1306 DUPONT ST, BELLINGHAM, Washington, 98225-3118","1306 DUPONT ST, BELLINGHAM, Washington, 98225-3118",Greg  Baker,greg.baker@bellinghamschools.org,(360)676-6501,https://bellinghamschools.org/,Whatcom,Whatcom,"1, 2","40, 42",Public School District,3
2240187.72440245,584337.88956847,4815,100021,32801,101,Educational Service District 101,01122,Benge School District,Benge,"2978 E BENGE WINONA RD, BENGE, Washington, 99105-9705","2978 E BENGE WINONA RD, BENGE, Washington, 99105-9705",Robert  Moore,bob.moore@benge.wednet.edu,(509)887-2370,https://www.benge.wednet.edu/,Adams,Adams,4,9,Public School District,5
1160902.10312007,648968.132600687,4816,100022,17801,121,Puget Sound Educational Service District 121,27403,Bethel School District,Bethel,"516 176th St E, Spanaway, Washington, 98387","516 176th St E, Spanaway, Washington, 98387",Tom  Seigel,tseigel@bethelsd.org,(253)800-6010,https://www.bethelsd.org/,Pierce,Pierce,"8, 10","2, 28, 29",Public School District,2
1693166.68567941,242844.509722196,4817,100023,39801,105,Educational Service District 105,20203,Bickleton School District,Bickleton,"100 MARKET ST, BICKLETON, Washington, 99322-0010","PO BOX 10, BICKLETON, Washington, 99322-0010",Tom  Whitmore,twhitmore@bickletonschools.org,(509)896-5473,http://www.bickletonschools.org,Klickitat,"Klickitat, Yakima","3, 4",14,Public School District,4
1101720.96062391,1342952.44230007,4818,100024,29801,189,Northwest Educational Service District 189,37503,Blaine School District,Blaine,"765 H Street, BLAINE, Washington, 98230","765 H Street, BLAINE, Washington, 98230",Christopher  Granger,cgranger@blainesd.org,(360)332-5881,https://www.blainesd.org/,Whatcom,Whatcom,1,42,Public School District,3
978145.219316295,454776.589186626,4819,100025,34801,113,Capital Region ESD 113,21234,Boistfort School District,Boistfort,"983 BOISTFORT RD, CURTIS, Washington, 98538-9734","983 BOISTFORT RD, CURTIS, Washington, 98538-9734",  ,,,https://boistfortbraves.com/,Lewis,Lewis,3,19,Public School District,1
1106676.29022234,821153.236966155,4820,100026,18801,114,Olympic Educational Service District 114,18100,Bremerton School District,Bremerton,"134 MARION AVE N, BREMERTON, Washington, 98312-3542","134 MARION AVE N, BREMERTON, Washington, 98312-3542",Aaron  Leavell,Aaron.Leavell@Bremertonschools.org,(360)473-1004,https://www.bremertonschools.org,Kitsap,Kitsap,6,"23, 26, 35",Public School District,2
1814628.33111683,1007668.42522151,4821,100027,04801,171,North Central Educational Service District 171,24111,Brewster School District,Brewster,"520 W Main, BREWSTER, Washington, 98812-0097","P.O. Box 97, Brewster, Washington, 98812",Eric  Driessen,edriessen@brewsterbears.org,(509)689-3418,https://www.brewsterbears.org/,Okanogan,"Douglas, Okanogan",4,12,Public School District,4
1842485.96413106,975741.358823465,4822,100028,04801,171,North Central Educational Service District 171,09075,Bridgeport School District,Bridgeport,"1400 Tacoma Avenue, BRIDGEPORT, Washington, 98813-1060","PO BOX 1060, BRIDGEPORT, Washington, 98813-1060",Scott  Sattler,ssattler@bridgeport.wednet.edu,(509)686-5656,https://www.bridgeport.wednet.edu,Douglas,"Douglas, Okanogan",4,12,Public School District,4
1048656.67873728,871164.524982155,4823,100029,18801,114,Olympic Educational Service District 114,16046,Brinnon School District,Brinnon,"46 SCHOOLHOUSE RD, BRINNON, Washington, 98320-9651","46 SCHOOLHOUSE RD, BRINNON, Washington, 98320-9651",Patricia  Beathard,pbeathard@bsd46.org,(360)796-4646,https://www.bsd46.org,Jefferson,Jefferson,6,24,Public School District,2
1198206.52148392,1151302.80180776,4824,100030,29801,189,Northwest Educational Service District 189,29100,Burlington-Edison School District,Burlington-Edison,"927 E FAIRHAVEN AVE, BURLINGTON, Washington, 98233-1900","927 E FAIRHAVEN AVE, BURLINGTON, Washington, 98233-1900",Laurel W Browning,lbrowning@be.wednet.edu,(360)757-3311,https://www.be.wednet.edu,Skagit,Skagit,2,"10, 40",Public School District,3
1153625.59861898,101416.800784616,4825,100031,06801,112,Educational Service District 112,06117,Camas School District,Camas,"841 NE 22nd Ave, CAMAS, Washington, 98607-1148","841 NE 22nd AVE, CAMAS, Washington, 98607-1148",Jeff  Snell,jeff.snell@camas.wednet.edu,(360)335-3000,https://www.camas.wednet.edu/,Clark,Clark,3,18,Public School District,1
706894.641891766,1092274.3479794,4826,100032,18801,114,Olympic Educational Service District 114,05401,Cape Flattery School District,Cape Flattery,"13193 HWY 112, SEKIU, Washington, 98381-9747","PO BOX 109, SEKIU, Washington, 98381-9747",Michelle  Parkin,mparkin@cfsd.wednet.edu,(360)963-2075,https://www.cfsd401.org/,Clallam,Clallam,6,24,Public School District,2
1253220.64853933,641270.161142985,4827,100033,17801,121,Puget Sound Educational Service District 121,27019,Carbonado School District,Carbonado,"427 4TH ST, CARBONADO, Washington, 98323-0131","PO BOX 131, CARBONADO, Washington, 98323-0131",Jessie  Sprouse,jsprouse@carbonado.k12.wa.us,(360)829-0121,https://www.carbonado.k12.wa.us/,Pierce,Pierce,8,31,Public School District,2
1600029.27931487,825838.651451235,4828,100034,04801,171,North Central Educational Service District 171,04228,Cascade School District,Cascade,"330 EVANS ST, LEAVENWORTH, Washington, 98826-1244","330 EVANS ST, LEAVENWORTH, Washington, 98826-1244",Tracey  Beckendorf-Edou,tbeckendorfedou@cascadesd.org,(509)548-5885,https://www.cascadesd.org/,Chelan,Chelan,8,12,Public School District,4
1647695.16530742,797225.876628399,4829,100035,04801,171,North Central Educational Service District 171,04222,CASHMERE SCHOOL DISTRICT,Cashmere,"210 S DIVISION ST, CASHMERE, Washington, 98815-1133","210 S DIVISION ST, CASHMERE, Washington, 98815-1133",GLENN ERICK JOHNSON,GJOHNSON@CASHMERE.WEDNET.EDU,(509)782-3355,https://www.cashmere.wednet.edu,Chelan,Chelan,8,12,Public School District,4
1031991.92523788,351680.370585257,4830,100036,06801,112,Educational Service District 112,08401,Castle Rock School District,Castle Rock,"600 HUNTINGTON AVE S, CASTLE ROCK, Washington, 98611-8901","600 HUNTINGTON AVE S, CASTLE ROCK, Washington, 98611-8901",Ryan  Greene,rgreene@crschools.org,(360)501-2940,https://www.crschools.org,Cowlitz,"Cowlitz, Lewis",3,20,Public School District,1
1538351.86788535,153083.034515841,4831,100037,06801,112,Educational Service District 112,20215,Centerville School District,Centerville,"ATTN: Ann Varkados 2315 Centerville Hwy, CENTERVILLE, Washington, 98613-3021","ATTN:Ann Varkados 2315 Centerville Hwy, CENTERVILLE, Washington, 98613-3021",Ann  Varkados,avarkados@centervilleschool.org,(509)773-4893,https://www.centervilleschool.org/,Klickitat,Klickitat,3,14,Public School District,1
1098787.67325775,851090.424374152,4832,100038,18801,114,Olympic Educational Service District 114,18401,Central Kitsap School District,Central Kitsap,"9210 SILVERDALE WAY NW, SILVERDALE, Washington, 98383-9197","PO BOX 8, SILVERDALE, Washington, 98383-9197",Erin  Prince,erinp@ckschools.org,(360)662-1610,https://www.ckschools.org/,Kitsap,Kitsap,6,"23, 35",Public School District,2
2466935.03296874,868504.598782686,4833,100039,32801,101,Educational Service District 101,32356,Central Valley School District,Central Valley,"19307 E Cataldo Ave, Spokane Valley, Washington, 99016-9489","19307 E Cataldo Ave, Spokane Valley, Washington, 99016-9489",Ben  Small,bsmall@cvsd.org,(509)558-5404,https://www.cvsd.org/,Spokane,Spokane,5,4,Public School District,5
1018227.74817362,517985.759532681,4834,100040,34801,113,Capital Region ESD 113,21401,Centralia School District,Centralia,"2320 BORST AVE, CENTRALIA, Washington, 98531-0610","PO Box 610, CENTRALIA, Washington, 98531",Lisa  Grant,lgrant@centralia.wednet.edu,(360)330-7600,https://www.centralia.k12.wa.us,Lewis,"Lewis, Thurston",3,20,Public School District,1
1025054.93846764,490080.105176395,4835,100041,34801,113,Capital Region ESD 113,21302,Chehalis School District,Chehalis,"310 SW 16TH ST, CHEHALIS, Washington, 98532-3809","310 SW 16TH ST, CHEHALIS, Washington, 98532-3809",Christine  Moloney,cmoloney@chehalisschools.org,(360)807-7200,https://chehalisschools.org/,Lewis,Lewis,3,20,Public School District,1
1759675.02136612,914956.985011174,4836,100125,04801,171,North Central Educational Service District 171,04129,Lake Chelan School District,Lake Chelan,"303 E JOHNSON AVE, CHELAN, Washington, 98816-0369","PO BOX 369, CHELAN, Washington, 98816-0369",Barry  DePaoli,depaolib@chelanschools.org,(509)682-3515,https://www.chelanschools.org,Chelan,"Chelan, Douglas, Okanogan","4, 8",12,Public School District,4
2369612.13078745,819544.924010577,4837,100042,32801,101,Educational Service District 101,32360,Cheney School District,Cheney,"12414 S Andrus Rd, CHENEY, Washington, 99004","12414 S Andrus Rd, CHENEY, Washington, 99004",Robert W Roettger,rroettger@cheneysd.org,(509)559-4500,https://www.cheneysd.org,Spokane,"Spokane, Whitman",5,6,Public School District,5
2318618.3582134,1085911.2550856,4838,100043,32801,101,Educational Service District 101,33036,Chewelah School District,Chewelah,"210 N PARK ST, CHEWELAH, Washington, 99109-8970","PO BOX 47, Chewelah, Washington, 99109-8970",  ,,,https://www.chewelah.k12.wa.us/,Stevens,Stevens,5,7,Public School District,5
1082627.63669332,985509.397068446,4839,100044,18801,114,Olympic Educational Service District 114,16049,Chimacum School District,Chimacum,"91 W VALLEY RD, CHIMACUM, Washington, 98325-7731","PO BOX 278, CHIMACUM, Washington, 98325-0278",David  Engle,david_engle@csd49.org,(360)302-5896,https://www.csd49.org,Jefferson,Jefferson,6,24,Public School District,2
2508281.51529311,411929.540297137,4840,100045,11801,123,Educational Service District 123,02250,Clarkston School District,Clarkston,"1294 CHESTNUT ST, CLARKSTON, Washington, 99403-2557","PO BOX 70, CLARKSTON, Washington, 99403-2557",Thaynan  Knowlton,knowltont@csdk12.org,(509)758-2531,https://www.csdk12.org,Asotin,"Asotin, Garfield, Whitman",5,9,Public School District,5
1521113.54728973,683255.079960008,4841,100046,39801,105,Educational Service District 105,19404,Cle Elum-Roslyn School District,Cle Elum-Roslyn,"4244 BULLFROG ROAD, CLE ELUM, Washington, 98922","4244 BULLFROG ROAD, CLE ELUM, Washington, 98922",Michelle  Kuss-Cybula,kuss-cybulam@cersd.org,(509)649-4851,https://www.cersd.org,Kittitas,Kittitas,8,13,Public School District,4
714023.69269171,826640.883251431,4842,100208,18801,114,Olympic Educational Service District 114,16020,Queets-Clearwater School District,Queets-Clearwater,"146000 HIGHWAY 101, FORKS, Washington, 98331-9484","146000 HIGHWAY 101, FORKS, Washington, 98331-9484",Homer Lee Petty,lpetty@qcsd20.org,(360)962-2395,http://www.queetsclearwaterschool.org/,Jefferson,Jefferson,6,24,Public School District,2
1137928.95864217,672181.452483705,4843,100047,17801,121,Puget Sound Educational Service District 121,27400,Clover Park School District,Clover Park,"10903 GRAVELLY LAKE DR SW, LAKEWOOD, Washington, 98499-1341","10903 GRAVELLY LAKE DR SW, LAKEWOOD, Washington, 98499-1341",Ron  Banner,rbanner@cloverpark.k12.wa.us,(253)583-5060,http://www.cloverpark.k12.wa.us/,Pierce,Pierce,10,"28, 29",Public School District,2
2425118.18415527,584720.754634633,4844,100048,32801,101,Educational Service District 101,38300,Colfax School District,Colfax,"1207 N MORTON ST, COLFAX, Washington, 99111-2198","1207 N MORTON ST, COLFAX, Washington, 99111-2198",Jerry  Pugh,jerry.pugh@csd300.com,(509)397-3042,https://www.csd300.org,Whitman,Whitman,5,9,Public School District,5
2176611.57726696,261544.077479417,4845,100049,11801,123,Educational Service District 123,36250,College Place School District,College Place,"1755 S College Ave, COLLEGE PLACE, Washington, 99324-1175","1755 S College Ave, COLLEGE PLACE, Washington, 99324-1175",Jim  Fry,jfry@cpps.org,(509)525-4827,https://www.cpps.org,Walla Walla,Walla Walla,5,16,Public School District,4
2487535.70684457,467763.356998524,4846,100050,32801,101,Educational Service District 101,38306,Colton School District,Colton,"706 UNION, COLTON, Washington, 99113-0109","706 UNION, COLTON, Washington, 99113-0109",Paul  Clark,Paulc@colton.k12.wa.us,(509)229-3385,https://www.colton.k12.wa.us/,Whitman,Whitman,5,9,Public School District,5
2201698.32832777,1024407.96061701,4847,100051,32801,101,Educational Service District 101,33206,Columbia (Stevens) School District,Columbia (Stevens),"4961 B Hunters Shop Rd, HUNTERS, Washington, 99137-0007","PO BOX 7, HUNTERS, Washington, 99137-0007",Gregory  Price,gprice@columbia206.net,(509)722-3311,https://www.columbia206.com,Stevens,Stevens,5,7,Public School District,5
2018175.72116226,319879.296970632,4848,100052,11801,123,Educational Service District 123,36400,Columbia (Walla Walla) School District,Columbia (Walla Walla),"755 MAPLE ST, BURBANK, Washington, 99323-0548","755 MAPLE ST, BURBANK, Washington, 99323-0548",Todd  Hilberg,todd.hilberg@csd400.org,(509)547-2136,https://www.csd400.org,Walla Walla,Walla Walla,4,16,Public School District,4
2271229.44173862,1181176.44692215,4849,100053,32801,101,Educational Service District 101,33115,Colville School District,Colville,"217 S HOFSTETTER ST, COLVILLE, Washington, 99114-3239","217 S HOFSTETTER ST, COLVILLE, Washington, 99114-3239",Pete  Lewis,pete.lewis@colsd.org,(509)684-7850,http://www.colsd.org,Stevens,Stevens,5,7,Public School District,5
1335373.40979224,1169048.78312495,4850,100054,29801,189,Northwest Educational Service District 189,29011,Concrete School District,Concrete,"45389 AIRPORT WAY , CONCRETE, Washington, 98237-9355","45389 AIRPORT WAY , CONCRETE, Washington, 98237-9355",Wayne Paul Barrett,wbarrett@concrete.k12.wa.us,(360)853-4000,https://www.concrete.k12.wa.us/,Skagit,"Skagit, Whatcom",1,39,Public School District,3
1197928.39956078,1101888.98245983,4851,100055,29801,189,Northwest Educational Service District 189,29317,Conway School District,Conway,"19710 STATE ROUTE 534, MOUNT VERNON, Washington, 98274-8026","19710 STATE ROUTE 534, MOUNT VERNON, Washington, 98274-8026",Jeff  Cravy,jcravy@conway.k12.wa.us,(360)445-5785,https://www.conway.k12.wa.us,Skagit,Skagit,1,10,Public School District,3
823461.103444474,607545.23754672,4852,100056,34801,113,Capital Region ESD 113,14099,Cosmopolis School District,Cosmopolis,"1439 FOURTH STREET, COSMOPOLIS, Washington, 98537-0479","PO BOX 479 , COSMOPOLIS, Washington, 98537",Cherie  Patterson,cpatterson@cosmopolisschool.com,(360)532-7181,https://www.cosmopolisschool.com,Grays Harbor,Grays Harbor,6,19,Public School District,1
1107433.39300965,1055569.53264458,4853,100058,29801,189,Northwest Educational Service District 189,15204,Coupeville School District,Coupeville,"501 S MAIN ST, COUPEVILLE, Washington, 98239-3518","501 S Main St, Coupeville, Washington, 98239",Steve  King,sking@coupeville.k12.wa.us,(360)678-2404,http://www.coupeville.k12.wa.us/,Island,Island,2,10,Public School District,3
847856.341636773,1038455.24132887,4854,100059,18801,114,Olympic Educational Service District 114,05313,Crescent School District,Crescent,"50350 HWY 112, JOYCE, Washington, 98343-0020","PO BOX 20, JOYCE, Washington, 98343-0020",David  Bingham,dbingham@csd313.org,(360)928-3311,https://www.csd313.org,Clallam,Clallam,6,24,Public School District,2
2127512.11567465,889253.736665197,4855,100060,32801,101,Educational Service District 101,22073,Creston School District,Creston,"485 SE E ST, CRESTON, Washington, 99117-0017","485 SE E ST, CRESTON, Washington, 99117-0017",Charles  Wyborney,cwyborney@wcsd.wednet.edu,(509)636-2721,https://www.wcsd.wednet.edu/,Lincoln,Lincoln,5,13,Public School District,5
2096696.39506961,1297518.62889012,4856,100061,32801,101,Educational Service District 101,10050,Curlew School District,Curlew,"47 CURLEW SCHOOL RD, CURLEW, Washington, 99118-9748","PO BOX 370, CURLEW, Washington, 99118-9748",John  Glenewinkel,jgwinkel@curlew.wednet.edu,(509)779-4931,https://www.curlew.wednet.edu/,Ferry,"Ferry, Okanogan","4, 5",7,Public School District,5
2419218.32968042,1111293.505111,4857,100062,32801,101,Educational Service District 101,26059,Cusick School District,Cusick,"305 MONUMENTAL WAY, CUSICK, Washington, 99119-9761","305 MONUMENTAL WAY, CUSICK, Washington, 99119-9761",Don  Hawpe,dhawpe@cusick.wednet.edu,(509)445-1125,https://www.cusick.wednet.edu/,Pend Oreille,Pend Oreille,5,7,Public School District,5
1623282.46858092,593955.028766578,4858,100063,39801,105,Educational Service District 105,19007,Damman School District,Damman,"3600 UMPTANUM RD, ELLENSBURG, Washington, 98926-8747","3600 UMPTANUM RD, ELLENSBURG, Washington, 98926-8747",Marsha  Smith,hats2many@aol.com,(509)962-9079,Not Available,Kittitas,Kittitas,8,13,Public School District,4
1371992.57389209,1064875.81863666,4859,100064,29801,189,Northwest Educational Service District 189,31330,Darrington School District,Darrington,"1065 FIR ST, DARRINGTON, Washington, 98241-0027","PO BOX 27, DARRINGTON, Washington, 98241-0027",BUCK   MARSH,bmarsh@dsd.k12.wa.us,(360)436-1323,https://www.darringtonschools.org/,Snohomish,"Skagit, Snohomish",1,39,Public School District,3
2219398.92886081,854065.349274287,4860,100065,32801,101,Educational Service District 101,22207,Davenport School District,Davenport,"801 7th Street, DAVENPORT, Washington, 99122-9548","801 7th Street, DAVENPORT, Washington, 99122-9548",James  Kowalkowski,jkowalkowski@davenportsd.org,(509)725-1481,https://www.davenport.wednet.edu/,Lincoln,Lincoln,5,13,Public School District,5
2278221.5156766,368716.268835599,4861,100066,11801,123,Educational Service District 123,07002,Dayton School District,Dayton,"609 S 2ND ST, DAYTON, Washington, 99328-1572","609 S 2ND ST, DAYTON, Washington, 99328-1572",Guy  Strot,guys@daytonsd.org,(509)382-2543,https://www.daytonsd.org/,Columbia,Columbia,5,16,Public School District,4
2381268.11345445,971669.413392772,4862,100067,32801,101,Educational Service District 101,32414,Deer Park School District,Deer Park,"428 N. Main, DEER PARK, Washington, 99006","P.O. BOX 490, DEER PARK, Washington, 99006-0490",Travis W Hanson,travis.hanson@dpsdmail.org,(509)464-5500,https://www.dpsd.org,Spokane,"Pend Oreille, Spokane, Stevens",5,7,Public School District,5
1220043.70918225,701712.46160205,4863,100068,17801,121,Puget Sound Educational Service District 121,27343,Dieringer School District,Dieringer,"1320 178TH AVE E, Lake Tapps, Washington, 98391-6411","1320 178TH AVE E, Lake Tapps, Washington, 98391-6411",Michael  Farmer,mfarmer@dieringer.wednet.edu,(253)862-2537,https://www.dieringer.wednet.edu/,Pierce,Pierce,"8, 10",31,Public School District,2
2236075.05126899,303720.609191948,4864,100069,11801,123,Educational Service District 123,36101,Dixie School District,Dixie,"HWY 12 & BISCUIT RIDGE RD, DIXIE, Washington, 99329-0040","PO BOX 40, DIXIE, Washington, 99329-0040",Jacob D Bang,jbang@dixiesd.org,(509)525-5339,https://www.dixiesd.org/,Walla Walla,Walla Walla,5,16,Public School District,4
2454129.6706879,877305.155659804,4865,100070,32801,101,Educational Service District 101,32361,East Valley School District (Spokane),East Valley (Spokane),"3830 N Sullivan Rd Bldg 1, SPOKANE, Washington, 99216","3830 N Sullivan Rd Bldg 1, SPOKANE, Washington, 99216",Kelly  Shea,SheaK@evsd.org,(509)924-1830,https://www.evsd.org/,Spokane,Spokane,5,4,Public School District,5
1694328.87974862,760025.288292451,4866,100072,04801,171,North Central Educational Service District 171,09206,Eastmont School District,Eastmont,"800 Eastmont Ave, EAST WENATCHEE, Washington, 98802-4443","800 Eastmont Ave, EAST WENATCHEE, Washington, 98802-4443",Garn  Christensen,christenseng@eastmont206.org,(509)884-7169,https://www.eastmont206.org/,Douglas,Douglas,"4, 8",12,Public School District,4
1472263.74756888,694784.944017226,4867,100073,39801,105,Educational Service District 105,19028,Easton School District,Easton,"1893 RAILROAD ST, EASTON, Washington, 98925-0008","PO BOX 8, EASTON, Washington, 98925-0008",Patrick  Dehuff,dehuffp@easton.wednet.edu,(509)656-2317,https://www.easton.wednet.edu/,Kittitas,Kittitas,8,13,Public School District,4
1198157.9949989,565584.868778905,4868,100074,17801,121,Puget Sound Educational Service District 121,27404,Eatonville School District,Eatonville,"200 LYNCH ST W, EATONVILLE, Washington, 98328-0698","PO BOX 698, EATONVILLE, Washington, 98328-0698",Krestin  Bahr,k.bahr@eatonville.wednet.edu,(360)879-1000,https://www.eatonville.wednet.edu/,Pierce,"Lewis, Pierce","3, 8",2,Public School District,2
1191710.97846133,909704.662383328,4869,100075,29801,189,Northwest Educational Service District 189,31015,Edmonds School District,Edmonds,"20420 68TH AVE W, LYNNWOOD, Washington, 98036-7400","20420 68TH AVE W, LYNNWOOD, Washington, 98036-7400",Gustavo  Balderas,balderasg@edmonds.wednet.edu,(425)431-7003,https://www.edmonds.wednet.edu/,Snohomish,Snohomish,"2, 7","1, 21, 32",Public School District,3
1633757.29629046,605813.062736128,4870,100076,39801,105,Educational Service District 105,19401,Ellensburg School District,Ellensburg,"1300 E 3RD AVE, ELLENSBURG, Washington, 98926-3576","1300 E 3RD AVE, ELLENSBURG, Washington, 98926-3576",Jinger  Haberer,jinger.haberer@esd401.org,(509)925-8010,https://www.esd401.org/,Kittitas,Kittitas,8,13,Public School District,4
908436.038814203,622706.805448274,4871,100077,34801,113,Capital Region ESD 113,14068,Elma School District,Elma,"1235 MONTE ELMA RD, ELMA, Washington, 98541-9038","1235 MONTE ELMA RD, ELMA, Washington, 98541-9038",Kevin  Acuff,kacuff@eagles.edu,(360)482-2822,https://www.eagles.edu/,Grays Harbor,"Grays Harbor, Mason",6,24,Public School District,1
2342665.20120943,595958.672364075,4872,100078,32801,101,Educational Service District 101,38308,Endicott School District,Endicott,"308 SCHOOL DR, ENDICOTT, Washington, 99125","308 SCHOOL DR, ENDICOTT, Washington, 99125",Suzanne  Schmick,sschmick@sjeschools.org,(509)657-3523,http://www.sje.wednet.edu,Whitman,"Adams, Whitman",5,9,Public School District,5
1708113.48761594,850232.580426547,4873,100079,04801,171,North Central Educational Service District 171,04127,Entiat School District,Entiat,"2650 ENTIAT WAY, ENTIAT, Washington, 98822-9710","2650 ENTIAT WAY, ENTIAT, Washington, 98822-9710",Miles  Caples,mcaples@entiatschools.org,(509)784-1800,https://www.entiatschools.org,Chelan,Chelan,8,12,Public School District,4
1876629.68800645,727493.337514174,4874,100081,04801,171,North Central Educational Service District 171,13165,Ephrata School District,Ephrata,"111 4TH AVE NW, EPHRATA, Washington, 98823","111 4TH AVE NW, EPHRATA, Washington, 98823-1690",Timothy A   Payne,tpayne@ephrataschools.org,(509)754-2474,https://www.ephrataschools.org/,Grant,"Douglas, Grant",4,13,Public School District,4
